instance_name,best_vehicles,best_distance,reference,note
C101,10,828.94,Solomon 1987,clustered tight time windows
C102,10,831.93,Solomon 1987,
C103,10,826.30,Solomon 1987,
C104,10,824.78,Solomon 1987,
C105,10,828.94,Solomon 1987,
C106,10,828.94,Solomon 1987,
C107,10,828.94,Solomon 1987,
C108,10,828.94,Solomon 1987,
C109,10,828.94,Solomon 1987,
R101,14,1645.79,Solomon 1987,random distributed tight time windows
R102,12,1476.67,Solomon 1987,
R103,11,1376.46,Solomon 1987,
R104,10,1252.03,Solomon 1987,
R105,13,1576.42,Solomon 1987,
R106,11,1405.48,Solomon 1987,
R107,10,1228.24,Solomon 1987,
R108,10,1117.10,Solomon 1987,
R109,13,1552.00,Solomon 1987,
R110,12,1406.87,Solomon 1987,
R111,10,1288.58,Solomon 1987,
R112,10,1096.72,Solomon 1987,
RC101,14,1696.22,Solomon 1987,mixed random-clustered tight time windows
RC102,12,1556.07,Solomon 1987,
RC103,11,1428.69,Solomon 1987,
RC104,10,1258.69,Solomon 1987,
RC105,13,1637.62,Solomon 1987,
RC106,11,1440.71,Solomon 1987,
RC107,11,1350.52,Solomon 1987,
RC108,10,1198.48,Solomon 1987,
C201,3,589.85,Solomon 1987,clustered loose time windows
C202,3,589.85,Solomon 1987,
C203,3,588.88,Solomon 1987,
C204,3,588.88,Solomon 1987,
C205,3,588.88,Solomon 1987,
C206,3,588.88,Solomon 1987,
C207,3,588.88,Solomon 1987,
C208,3,588.88,Solomon 1987,
R201,4,1252.43,Solomon 1987,random distributed loose time windows
R202,3,1191.70,Solomon 1987,
R203,3,941.68,Solomon 1987,
R204,3,849.05,Solomon 1987,
R205,4,1105.61,Solomon 1987,
R206,3,994.34,Solomon 1987,
R207,3,855.00,Solomon 1987,
R208,3,726.82,Solomon 1987,
R209,4,1009.52,Solomon 1987,
R210,4,960.95,Solomon 1987,
R211,3,913.98,Solomon 1987,
RC201,4,1408.68,Solomon 1987,mixed random-clustered loose time windows
RC202,4,1355.42,Solomon 1987,
RC203,4,1192.38,Solomon 1987,
RC204,3,1135.48,Solomon 1987,
RC205,4,1338.40,Solomon 1987,
RC206,4,1305.65,Solomon 1987,
RC207,3,1117.37,Solomon 1987,
RC208,3,980.16,Solomon 1987,
