instance_name,family,size,source,raw_path,processed_path,capacity
C101,C1,100,solomon,,,200
C102,C1,100,solomon,,,200
C103,C1,100,solomon,,,200
C104,C1,100,solomon,,,200
C105,C1,100,solomon,,,200
C106,C1,100,solomon,,,200
C107,C1,100,solomon,,,200
C108,C1,100,solomon,,,200
C109,C1,100,solomon,,,200
R101,R1,100,solomon,,,200
R102,R1,100,solomon,,,200
R103,R1,100,solomon,,,200
R104,R1,100,solomon,,,200
R105,R1,100,solomon,,,200
R106,R1,100,solomon,,,200
R107,R1,100,solomon,,,200
R108,R1,100,solomon,,,200
R109,R1,100,solomon,,,200
R110,R1,100,solomon,,,200
R111,R1,100,solomon,,,200
R112,R1,100,solomon,,,200
RC101,RC1,100,solomon,,,200
RC102,RC1,100,solomon,,,200
RC103,RC1,100,solomon,,,200
RC104,RC1,100,solomon,,,200
RC105,RC1,100,solomon,,,200
RC106,RC1,100,solomon,,,200
RC107,RC1,100,solomon,,,200
RC108,RC1,100,solomon,,,200
C201,C2,100,solomon,,,700
C202,C2,100,solomon,,,700
C203,C2,100,solomon,,,700
C204,C2,100,solomon,,,700
C205,C2,100,solomon,,,700
C206,C2,100,solomon,,,700
C207,C2,100,solomon,,,700
C208,C2,100,solomon,,,700
R201,R2,100,solomon,,,1000
R202,R2,100,solomon,,,1000
R203,R2,100,solomon,,,1000
R204,R2,100,solomon,,,1000
R205,R2,100,solomon,,,1000
R206,R2,100,solomon,,,1000
R207,R2,100,solomon,,,1000
R208,R2,100,solomon,,,1000
R209,R2,100,solomon,,,1000
R210,R2,100,solomon,,,1000
R211,R2,100,solomon,,,1200
RC201,RC2,100,solomon,,,1000
RC202,RC2,100,solomon,,,1000
RC203,RC2,100,solomon,,,1000
RC204,RC2,100,solomon,,,1000
RC205,RC2,100,solomon,,,1000
RC206,RC2,100,solomon,,,1000
RC207,RC2,100,solomon,,,1000
RC208,RC2,100,solomon,,,1120
