dataset,unit,scale,iteration_group,metric,value,eligible_quality
ORTEC static,ORTEC-SYNTH-300-s100,300,1,runtime_sec,172.64,True
ORTEC static,ORTEC-SYNTH-300-s100,300,1,vehicle_reduction_pct,3.4482758620689653,True
ORTEC static,ORTEC-SYNTH-300-s100,300,1,distance_reduction_pct,20.851042080028503,True
ORTEC static,ORTEC-SYNTH-300-s101,300,1,runtime_sec,180.7,True
ORTEC static,ORTEC-SYNTH-300-s101,300,1,vehicle_reduction_pct,-3.4482758620689653,True
ORTEC static,ORTEC-SYNTH-300-s101,300,1,distance_reduction_pct,15.805454582986938,True
ORTEC static,ORTEC-SYNTH-300-s102,300,1,runtime_sec,185.27,True
ORTEC static,ORTEC-SYNTH-300-s102,300,1,vehicle_reduction_pct,-3.571428571428571,True
ORTEC static,ORTEC-SYNTH-300-s102,300,1,distance_reduction_pct,-0.5049330393035126,True
ORTEC static,ORTEC-SYNTH-300-s103,300,1,runtime_sec,162.41,True
ORTEC static,ORTEC-SYNTH-300-s103,300,1,vehicle_reduction_pct,3.3333333333333335,True
ORTEC static,ORTEC-SYNTH-300-s103,300,1,distance_reduction_pct,1.5947873515182205,True
ORTEC static,ORTEC-SYNTH-300-s104,300,1,runtime_sec,184.46,True
ORTEC static,ORTEC-SYNTH-300-s104,300,1,vehicle_reduction_pct,6.666666666666667,True
ORTEC static,ORTEC-SYNTH-300-s104,300,1,distance_reduction_pct,3.31329090040001,True
ORTEC static,ORTEC-SYNTH-300-s105,300,1,runtime_sec,182.77,True
ORTEC static,ORTEC-SYNTH-300-s105,300,1,vehicle_reduction_pct,0.0,True
ORTEC static,ORTEC-SYNTH-300-s105,300,1,distance_reduction_pct,2.349075999176475,True
ORTEC static,ORTEC-SYNTH-300-s106,300,1,runtime_sec,147.17,False
ORTEC static,ORTEC-SYNTH-300-s107,300,1,runtime_sec,176.19,True
ORTEC static,ORTEC-SYNTH-300-s107,300,1,vehicle_reduction_pct,3.4482758620689653,True
ORTEC static,ORTEC-SYNTH-300-s107,300,1,distance_reduction_pct,18.73192748406159,True
ORTEC static,ORTEC-SYNTH-300-s108,300,0,runtime_sec,99.57,True
ORTEC static,ORTEC-SYNTH-300-s108,300,0,vehicle_reduction_pct,3.3333333333333335,True
ORTEC static,ORTEC-SYNTH-300-s108,300,0,distance_reduction_pct,1.0091505415373914,True
ORTEC static,ORTEC-SYNTH-300-s109,300,1,runtime_sec,169.01,True
ORTEC static,ORTEC-SYNTH-300-s109,300,1,vehicle_reduction_pct,0.0,True
ORTEC static,ORTEC-SYNTH-300-s109,300,1,distance_reduction_pct,-0.22723089449320052,True
ORTEC static,ORTEC-SYNTH-300-s110,300,1,runtime_sec,171.59,True
ORTEC static,ORTEC-SYNTH-300-s110,300,1,vehicle_reduction_pct,3.3333333333333335,True
ORTEC static,ORTEC-SYNTH-300-s110,300,1,distance_reduction_pct,2.405305101861717,True
ORTEC static,ORTEC-SYNTH-300-s111,300,0,runtime_sec,103.58,True
ORTEC static,ORTEC-SYNTH-300-s111,300,0,vehicle_reduction_pct,3.4482758620689653,True
ORTEC static,ORTEC-SYNTH-300-s111,300,0,distance_reduction_pct,3.8215135683249177,True
ORTEC static,ORTEC-SYNTH-300-s42,300,1,runtime_sec,191.01,True
ORTEC static,ORTEC-SYNTH-300-s42,300,1,vehicle_reduction_pct,3.571428571428571,True
ORTEC static,ORTEC-SYNTH-300-s42,300,1,distance_reduction_pct,0.4206987166042997,True
ORTEC static,ORTEC-SYNTH-300-s43,300,1,runtime_sec,172.35,True
ORTEC static,ORTEC-SYNTH-300-s43,300,1,vehicle_reduction_pct,0.0,True
ORTEC static,ORTEC-SYNTH-300-s43,300,1,distance_reduction_pct,-0.1203436941106465,True
ORTEC static,ORTEC-SYNTH-300-s44,300,1,runtime_sec,168.32,True
ORTEC static,ORTEC-SYNTH-300-s44,300,1,vehicle_reduction_pct,3.7037037037037033,True
ORTEC static,ORTEC-SYNTH-300-s44,300,1,distance_reduction_pct,-1.6110240193674483,True
ORTEC static,ORTEC-SYNTH-300-s45,300,1,runtime_sec,178.57,True
ORTEC static,ORTEC-SYNTH-300-s45,300,1,vehicle_reduction_pct,3.7037037037037033,True
ORTEC static,ORTEC-SYNTH-300-s45,300,1,distance_reduction_pct,-1.9098586747869746,True
ORTEC static,ORTEC-SYNTH-300-s46,300,1,runtime_sec,185.72,True
ORTEC static,ORTEC-SYNTH-300-s46,300,1,vehicle_reduction_pct,0.0,True
