scale,method,epoch,n,served_q1_pct,served_median_pct,served_q3_pct,served_low_pct,served_high_pct,runtime_median_sec,runtime_q1_sec,runtime_q3_sec,feasible_rows
300,DRoC latest,0,70,20.330000000000002,20.330000000000002,20.330000000000002,20.330000000000002,20.330000000000002,102.51174664497375,97.48425078392027,176.78949332237244,69
300,DRoC latest,1,70,40.33,40.33,40.33,40.33,40.33,129.4427604675293,103.29640102386476,178.71689295768738,68
300,DRoC latest,2,70,60.33,60.33,60.33,60.33,60.33,123.19974207878113,113.1550087928772,178.29544949531555,67
300,DRoC latest,3,70,80.33,80.33,80.33,80.33,80.33,167.11228227615356,128.9466154575348,179.71659564971924,65
300,DRoC latest,4,70,100.33000000000001,100.33000000000001,100.33000000000001,100.33000000000001,100.33000000000001,161.02695608139038,135.87752103805542,180.0235517024994,64
300,OR-Tools,0,70,20.0,20.0,20.0,20.0,20.0,8.39,7.39,9.7,69
300,OR-Tools,1,70,40.0,40.0,40.0,40.0,40.0,8.64,7.36,9.51,68
300,OR-Tools,2,70,60.0,60.0,60.0,60.0,60.0,8.620000000000001,7.55,10.13,67
300,OR-Tools,3,70,80.0,80.0,80.0,80.0,80.0,8.344999999999999,6.81,10.28,64
300,OR-Tools,4,70,100.0,100.0,100.0,100.0,100.0,8.489999999999998,7.36,10.31,64
500,DRoC latest,0,73,20.200000000000003,20.200000000000003,20.200000000000003,20.200000000000003,20.200000000000003,118.96559739112854,110.35296177864075,177.9039844274521,72
500,DRoC latest,1,73,40.2,40.2,40.2,40.2,40.2,175.0953025817871,149.82487308979034,180.98358404636383,72
500,DRoC latest,2,73,60.199999999999996,60.199999999999996,60.199999999999996,60.199999999999996,60.199999999999996,178.8442554473877,170.6698968410492,184.4666384458542,69
500,DRoC latest,3,73,80.2,80.2,80.2,80.2,80.2,181.24011278152463,177.54575860500336,188.3318442106247,68
500,DRoC latest,4,73,100.2,100.2,100.2,100.2,100.2,181.95362639427185,178.90016520023346,205.9869303703308,66
500,OR-Tools,0,73,20.0,20.0,20.0,20.0,20.0,17.09,14.260000000000002,19.28,71
500,OR-Tools,1,73,40.0,40.0,40.0,40.0,40.0,16.84,14.905,18.15,71
500,OR-Tools,2,73,60.0,60.0,60.0,60.0,60.0,15.75,13.690000000000001,18.590000000000003,69
500,OR-Tools,3,73,80.0,80.0,80.0,80.0,80.0,17.2,14.575,19.845,68
500,OR-Tools,4,73,100.0,100.0,100.0,100.0,100.0,16.71,14.385,19.445,66
800,DRoC latest,0,63,20.13,20.13,20.13,20.13,20.13,124.97386360168456,116.3825535774231,179.12006402015686,57
800,DRoC latest,1,63,40.12,40.12,40.12,40.12,40.12,183.6132819652557,175.5650041103363,206.82520246505737,49
800,DRoC latest,2,63,60.12,60.12,60.12,60.12,60.12,182.4243686199188,178.4645550251007,262.4015316963196,48
800,DRoC latest,3,63,60.12,80.13,80.13,40.12,80.13,192.6312472820282,176.99018383026123,267.7078895568848,47
800,DRoC latest,4,63,80.13,100.12,100.12,60.12,100.12,206.47084140777588,180.9653286933899,345.37313985824585,47
800,OR-Tools,0,63,20.0,20.0,20.0,20.0,20.0,31.17,27.9,37.07,56
800,OR-Tools,1,63,40.0,40.0,40.0,40.0,40.0,34.42,29.01,44.07,49
800,OR-Tools,2,63,60.0,60.0,60.0,60.0,60.0,31.97,29.13,44.41,48
800,OR-Tools,3,63,60.0,80.0,80.0,40.0,80.0,34.51,28.94,120.14,47
800,OR-Tools,4,63,60.0,100.0,100.0,0.0,100.0,35.65,29.28,120.28,44
