method,scenario,scale,epoch,served_rate,runtime_sec,feasible,orders_dispatched,orders_pending
OR-Tools,ORTEC-SYNTH-300-s101_dyn5e,300,0,0.2,3.04,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s101_dyn5e,300,1,0.4,2.45,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s101_dyn5e,300,2,0.6,3.07,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s101_dyn5e,300,3,0.8,2.38,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s101_dyn5e,300,4,1.0,2.21,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s100_dyn5e,300,0,0.2,3.6,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s100_dyn5e,300,1,0.4,2.25,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s100_dyn5e,300,2,0.6,1.95,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s100_dyn5e,300,3,0.8,3.62,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s100_dyn5e,300,4,1.0,2.74,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s103_dyn5e,300,0,0.2,7.15,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s103_dyn5e,300,1,0.4,9.19,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s103_dyn5e,300,2,0.6,7.55,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s103_dyn5e,300,3,0.8,7.89,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s103_dyn5e,300,4,1.0,8.23,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s102_dyn5e,300,0,0.2,11.04,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s102_dyn5e,300,1,0.4,6.8,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s102_dyn5e,300,2,0.6,7.3,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s102_dyn5e,300,3,0.8,7.52,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s102_dyn5e,300,4,1.0,7.58,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s104_dyn5e,300,0,0.2,11.37,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s104_dyn5e,300,1,0.4,7.59,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s104_dyn5e,300,2,0.6,13.35,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s104_dyn5e,300,3,0.8,5.96,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s104_dyn5e,300,4,1.0,12.38,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s105_dyn5e,300,0,0.2,8.35,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s105_dyn5e,300,1,0.4,9.42,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s105_dyn5e,300,2,0.6,9.11,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s105_dyn5e,300,3,0.8,12.88,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s105_dyn5e,300,4,1.0,10.5,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s106_dyn5e,300,0,0.2,7.19,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s106_dyn5e,300,1,0.4,7.97,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s106_dyn5e,300,2,0.6,11.89,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s106_dyn5e,300,3,0.8,7.14,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s106_dyn5e,300,4,1.0,7.72,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s107_dyn5e,300,0,0.2,9.22,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s107_dyn5e,300,1,0.4,10.06,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s107_dyn5e,300,2,0.6,6.05,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s107_dyn5e,300,3,0.8,7.43,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s107_dyn5e,300,4,1.0,8.35,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s108_dyn5e,300,0,0.2,4.97,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s108_dyn5e,300,1,0.4,7.62,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s108_dyn5e,300,2,0.6,11.45,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s108_dyn5e,300,3,0.8,8.33,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s108_dyn5e,300,4,1.0,8.11,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s109_dyn5e,300,0,0.2,8.13,True,60.0,0.0
