scenario,scale,rule,ort_feasible,droc_feasible,ort_served_rate,droc_served_rate,served_gain_pp,ort_runtime,droc_runtime,runtime_ratio
ORTEC-SYNTH-300-s101_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,13.31,616.03,46.28324567993989
ORTEC-SYNTH-300-s101_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,13.31,561.56,42.19083395942899
ORTEC-SYNTH-300-s100_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,14.31,603.89,42.20055904961565
ORTEC-SYNTH-300-s100_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,14.31,559.62,39.10691823899371
ORTEC-SYNTH-300-s103_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,40.3,662.62,16.442183622828786
ORTEC-SYNTH-300-s103_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,40.3,593.5,14.727047146401986
ORTEC-SYNTH-300-s102_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,40.59,597.23,14.713722591771372
ORTEC-SYNTH-300-s102_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,40.59,583.94,14.386302044838631
ORTEC-SYNTH-300-s104_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,51.09,684.64,13.400665492268544
ORTEC-SYNTH-300-s104_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,51.09,515.32,10.086513994910941
ORTEC-SYNTH-300-s105_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,51.9,659.73,12.71156069364162
ORTEC-SYNTH-300-s105_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,51.9,594.85,11.461464354527939
ORTEC-SYNTH-300-s106_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,42.67,668.04,15.655964377782984
ORTEC-SYNTH-300-s106_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,42.67,592.42,13.88375908132177
ORTEC-SYNTH-300-s107_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,42.92,872.82,20.335973904939422
ORTEC-SYNTH-300-s107_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,42.92,615.74,14.346225535880707
ORTEC-SYNTH-300-s108_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,41.91,622.49,14.853018372703414
ORTEC-SYNTH-300-s108_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,41.91,622.49,14.853018372703414
ORTEC-SYNTH-300-s109_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,44.52,559.37,12.564465408805031
ORTEC-SYNTH-300-s109_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,44.52,518.42,11.644654088050313
ORTEC-SYNTH-300-s111_dyn5e,300,latest,True,True,1.0,0.8233,-17.669999999999998,40.87,755.88,18.49473941766577
ORTEC-SYNTH-300-s111_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,40.87,670.68,16.410080743821872
ORTEC-SYNTH-300-s110_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,43.51,699.22,16.070328660078143
ORTEC-SYNTH-300-s110_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,43.51,699.22,16.070328660078143
ORTEC-SYNTH-300-s42_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,43.06,612.73,14.22967951695309
ORTEC-SYNTH-300-s42_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,43.06,612.73,14.22967951695309
ORTEC-SYNTH-300-s43_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,47.18,557.76,11.821958456973293
ORTEC-SYNTH-300-s43_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,47.18,557.76,11.821958456973293
ORTEC-SYNTH-300-s44_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,44.38,650.44,14.65615141955836
ORTEC-SYNTH-300-s44_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,44.38,585.41,13.190851735015771
ORTEC-SYNTH-300-s45_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,43.69,789.99,18.08171206225681
ORTEC-SYNTH-300-s45_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,43.69,588.4,13.467612726024262
ORTEC-SYNTH-300-s46_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,45.29,629.93,13.908809891808346
ORTEC-SYNTH-300-s46_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,45.29,629.93,13.908809891808346
ORTEC-SYNTH-300-s47_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,38.16,779.32,20.422431865828095
ORTEC-SYNTH-300-s47_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,38.16,779.32,20.422431865828095
ORTEC-SYNTH-300-s49_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,40.35,722.56,17.90731102850062
ORTEC-SYNTH-300-s49_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,40.35,714.98,17.719454770755885
ORTEC-SYNTH-300-s48_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,45.97,620.82,13.504894496410705
ORTEC-SYNTH-300-s48_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,45.97,567.75,12.350445943006308
ORTEC-SYNTH-300-s50_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,43.01,777.96,18.087886538014416
ORTEC-SYNTH-300-s50_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,43.01,777.96,18.087886538014416
ORTEC-SYNTH-300-s51_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,45.29,730.35,16.126076396555533
ORTEC-SYNTH-300-s51_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,45.29,683.4,15.089423713844116
ORTEC-SYNTH-300-s52_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,39.79,704.01,17.693138979643127
ORTEC-SYNTH-300-s52_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,39.79,704.01,17.693138979643127
ORTEC-SYNTH-300-s53_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,47.27,677.49,14.332346096890204
ORTEC-SYNTH-300-s53_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,47.27,619.35,13.102390522530145
ORTEC-SYNTH-300-s54_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,41.49,570.39,13.747650036153289
ORTEC-SYNTH-300-s54_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,41.49,570.39,13.747650036153289
ORTEC-SYNTH-300-s55_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,52.68,760.4,14.434320425208808
ORTEC-SYNTH-300-s55_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,52.68,579.29,10.996393318147303
ORTEC-SYNTH-300-s56_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,42.46,707.75,16.668629298162976
ORTEC-SYNTH-300-s56_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,42.46,611.14,14.393311351860573
ORTEC-SYNTH-300-s57_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,44.7,770.72,17.242058165548098
ORTEC-SYNTH-300-s57_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,44.7,770.72,17.242058165548098
ORTEC-SYNTH-300-s58_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,46.38,731.08,15.76282880551962
ORTEC-SYNTH-300-s58_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,46.38,581.68,12.541612764122466
ORTEC-SYNTH-300-s60_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,42.85,648.27,15.12882147024504
ORTEC-SYNTH-300-s60_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,42.85,631.4,14.735122520420068
ORTEC-SYNTH-300-s61_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,35.38,682.59,19.29310344827586
ORTEC-SYNTH-300-s61_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,35.38,682.59,19.29310344827586
ORTEC-SYNTH-300-s62_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,46.51,582.71,12.528703504622664
ORTEC-SYNTH-300-s62_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,46.51,582.71,12.528703504622664
ORTEC-SYNTH-300-s63_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,40.18,602.56,14.996515679442508
ORTEC-SYNTH-300-s63_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,40.18,561.38,13.971627675460429
ORTEC-SYNTH-300-s64_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,48.5,717.69,14.797731958762888
ORTEC-SYNTH-300-s64_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,48.5,717.69,14.797731958762888
ORTEC-SYNTH-300-s65_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,45.31,788.82,17.409401898035753
ORTEC-SYNTH-300-s65_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,45.31,559.73,12.353343632752152
ORTEC-SYNTH-300-s66_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,37.78,744.75,19.712811011116994
ORTEC-SYNTH-300-s66_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,37.78,541.99,14.345950238221281
ORTEC-SYNTH-300-s67_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,43.58,673.76,15.460302891234512
ORTEC-SYNTH-300-s67_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,43.58,583.54,13.39008719596145
ORTEC-SYNTH-300-s69_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,35.38,620.85,17.548049745618993
ORTEC-SYNTH-300-s69_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,35.38,620.85,17.548049745618993
ORTEC-SYNTH-300-s70_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,41.04,752.21,18.328703703703706
ORTEC-SYNTH-300-s70_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,41.04,752.21,18.328703703703706
ORTEC-SYNTH-300-s72_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,48.04,781.38,16.26519567027477
ORTEC-SYNTH-300-s72_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,48.04,675.29,14.056827643630308
ORTEC-SYNTH-300-s59_dyn5e,300,latest,False,False,0.6,0.6033,0.32999999999999696,264.18,1169.54,4.427057309410251
ORTEC-SYNTH-300-s59_dyn5e,300,retry,False,True,0.6,1.0033,40.33000000000001,264.18,787.27,2.98005148005148
ORTEC-SYNTH-300-s73_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,40.83,679.44,16.640705363703162
ORTEC-SYNTH-300-s73_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,40.83,556.08,13.619397501836886
ORTEC-SYNTH-300-s74_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,49.03,877.13,17.889659392208852
ORTEC-SYNTH-300-s74_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,49.03,594.07,12.116459310626148
ORTEC-SYNTH-300-s75_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,53.77,737.27,13.711549190998698
ORTEC-SYNTH-300-s75_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,53.77,516.17,9.599590849916309
ORTEC-SYNTH-300-s76_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,43.74,699.97,16.00297210791038
ORTEC-SYNTH-300-s76_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,43.74,699.97,16.00297210791038
ORTEC-SYNTH-300-s78_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,47.86,811.24,16.950271625574594
ORTEC-SYNTH-300-s78_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,47.86,734.11,15.338696197241957
ORTEC-SYNTH-300-s71_dyn5e,300,latest,False,False,0.6,0.6033,0.32999999999999696,267.69,1372.08,5.1256303933654594
ORTEC-SYNTH-300-s71_dyn5e,300,retry,False,False,0.6,0.6033,0.32999999999999696,267.69,1372.08,5.1256303933654594
ORTEC-SYNTH-300-s79_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,46.17,815.8,17.66948234784492
ORTEC-SYNTH-300-s79_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,46.17,630.61,13.65843621399177
ORTEC-SYNTH-300-s80_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,45.67,683.5,14.966060871469235
ORTEC-SYNTH-300-s80_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,45.67,543.88,11.90891175826582
ORTEC-SYNTH-300-s81_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,39.51,617.22,15.621867881548976
ORTEC-SYNTH-300-s81_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,39.51,581.56,14.719311566691976
ORTEC-SYNTH-300-s68_dyn5e,300,latest,False,False,0.4,0.4033,0.32999999999999696,386.76,1433.15,3.705527976005792
ORTEC-SYNTH-300-s68_dyn5e,300,retry,False,True,0.4,1.0033,60.330000000000005,386.76,916.36,2.369324645775158
ORTEC-SYNTH-300-s82_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,48.63,641.88,13.199259716224551
ORTEC-SYNTH-300-s82_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,48.63,641.88,13.199259716224551
ORTEC-SYNTH-300-s83_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,47.2,677.68,14.357627118644066
ORTEC-SYNTH-300-s83_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,47.2,575.9,12.201271186440676
ORTEC-SYNTH-300-s84_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,40.78,619.74,15.197155468366846
ORTEC-SYNTH-300-s84_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,40.78,616.05,15.106669936243255
ORTEC-SYNTH-300-s85_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,44.96,730.12,16.23932384341637
ORTEC-SYNTH-300-s85_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,44.96,645.97,14.367660142348754
ORTEC-SYNTH-300-s86_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,45.61,695.17,15.24161368121026
ORTEC-SYNTH-300-s86_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,45.61,695.17,15.24161368121026
ORTEC-SYNTH-300-s87_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,49.76,731.01,14.690715434083602
ORTEC-SYNTH-300-s87_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,49.76,588.85,11.83380225080386
ORTEC-SYNTH-300-s89_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,54.28,704.24,12.974207811348563
ORTEC-SYNTH-300-s89_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,54.28,704.24,12.974207811348563
ORTEC-SYNTH-300-s90_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,43.71,762.54,17.445435827041866
