instance,scale,ort_feasible,droc_feasible,dual_feasible_clean,ort_vehicles,droc_vehicles,ort_distance,droc_distance,vehicle_improvement,distance_improvement
C1_2_1,200,False,True,False,0.0,20.0,0.0,2637.0,,
C1_2_10,200,True,True,True,21.0,20.0,3033.9,2818.0,4.761904761904762,7.116253007679887
C1_2_2,200,False,True,False,0.0,20.0,0.0,2738.0,,
C1_2_3,200,False,False,False,0.0,20.0,0.0,2128.0,,
C1_2_4,200,False,True,False,0.0,18.0,0.0,2220.0,,
C1_2_5,200,False,True,False,0.0,20.0,0.0,2705.0,,
C1_2_6,200,False,True,False,0.0,20.0,0.0,2636.0,,
C1_2_7,200,True,False,False,27.0,20.0,3615.9,2666.0,,
C1_2_8,200,True,True,True,23.0,20.0,3357.7,2678.0,13.043478260869565,20.24302349822795
C1_2_9,200,True,False,False,23.0,19.0,3196.6,2731.0,,
C2_2_1,200,True,False,False,12.0,6.0,2235.5,1857.0,,
C2_2_10,200,True,False,False,8.0,6.0,2016.2,1829.0,,
C2_2_2,200,True,True,True,9.0,6.0,2063.8,1863.0,33.33333333333333,9.729624963659276
C2_2_3,200,True,False,False,9.0,6.0,2034.9,2115.0,,
C2_2_4,200,True,True,True,9.0,6.0,1879.9,1823.0,33.33333333333333,3.0267567423799187
C2_2_5,200,True,True,True,8.0,7.0,2022.1,1846.0,12.5,8.708768112358435
C2_2_6,200,True,True,True,9.0,7.0,2105.8,1847.0,22.22222222222222,12.28986608414855
C2_2_7,200,True,True,True,10.0,8.0,2067.1,1971.0,20.0,4.649025204392624
C2_2_8,200,True,True,True,9.0,6.0,1958.0,1773.0,33.33333333333333,9.448416751787539
C2_2_9,200,True,False,False,9.0,7.0,2025.6,1835.0,,
R1_2_1,200,False,False,False,0.0,24.0,0.0,4792.0,,
R1_2_10,200,True,True,True,19.0,18.0,3775.5,3824.0,5.263157894736842,-1.2845980664812608
R1_2_2,200,False,False,False,0.0,21.0,0.0,3982.0,,
R1_2_3,200,False,False,False,0.0,20.0,0.0,3049.0,,
R1_2_4,200,False,False,False,0.0,18.0,0.0,3295.0,,
R1_2_5,200,True,False,False,22.0,19.0,4348.5,4256.0,,
R1_2_6,200,True,False,False,21.0,18.0,3933.1,3893.0,,
R1_2_7,200,True,False,False,19.0,18.0,3522.8,3585.0,,
R1_2_8,200,True,False,False,19.0,18.0,3426.5,3329.0,,
R1_2_9,200,True,False,False,21.0,18.0,4168.0,4460.0,,
R2_2_1,200,True,True,True,14.0,12.0,3691.2,3543.0,14.285714285714285,4.014954486345899
R2_2_10,200,True,True,True,7.0,4.0,2846.7,2770.0,42.857142857142854,2.694347841360165
R2_2_2,200,True,False,False,10.0,6.0,3069.8,3317.0,,
R2_2_3,200,True,False,False,11.0,5.0,2722.5,2813.0,,
R2_2_4,200,True,True,True,7.0,4.0,2084.6,2073.0,42.857142857142854,0.5564616713038429
R2_2_5,200,True,False,False,10.0,4.0,3231.7,3529.0,,
R2_2_6,200,True,False,False,8.0,4.0,2840.2,3115.0,,
R2_2_7,200,True,True,True,7.0,4.0,2668.1,2699.0,42.857142857142854,-1.1581275064652783
R2_2_8,200,True,True,True,6.0,5.0,2006.7,1928.0,16.666666666666664,3.9218617630936383
R2_2_9,200,True,False,False,10.0,4.0,3116.2,3381.0,,
RC1_2_1,200,True,True,True,22.0,20.0,3970.9,3632.0,9.090909090909092,8.53458913596414
RC1_2_10,200,True,False,False,18.0,18.0,3396.4,3544.0,,
RC1_2_2,200,True,False,False,20.0,19.0,3511.0,3397.0,,
RC1_2_3,200,True,False,False,20.0,19.0,3356.0,3272.0,,
RC1_2_4,200,True,True,True,19.0,19.0,3432.7,3235.0,0.0,5.759314825064813
RC1_2_5,200,True,False,False,22.0,20.0,3739.7,3494.0,,
RC1_2_6,200,True,False,False,21.0,19.0,3686.0,3422.0,,
RC1_2_7,200,True,False,False,20.0,19.0,3454.8,3410.0,,
RC1_2_8,200,True,False,False,19.0,19.0,3424.9,3260.0,,
RC1_2_9,200,True,False,False,19.0,18.0,3268.0,3549.0,,
RC2_2_1,200,True,False,False,10.0,11.0,2944.1,2848.0,,
RC2_2_10,200,True,True,True,6.0,4.0,2316.7,2193.0,33.33333333333333,5.339491518107645
RC2_2_2,200,True,False,False,10.0,7.0,2590.6,2732.0,,
RC2_2_3,200,True,False,False,8.0,9.0,2398.8,2135.0,,
RC2_2_4,200,True,False,False,8.0,4.0,2068.1,2189.0,,
RC2_2_5,200,True,False,False,9.0,5.0,2717.2,2971.0,,
RC2_2_6,200,True,False,False,9.0,5.0,2657.2,2808.0,,
RC2_2_7,200,True,False,False,7.0,8.0,2425.5,2369.0,,
RC2_2_8,200,True,False,False,8.0,4.0,2308.6,2418.0,,
RC2_2_9,200,True,False,False,6.0,5.0,2289.6,2280.0,,
C1_4_1,400,False,True,False,0.0,41.0,0.0,7250.0,,
C1_4_10,400,True,False,False,42.0,38.0,8122.5,7748.0,,
C1_4_2,400,False,False,False,0.0,41.0,0.0,6947.0,,
C1_4_3,400,False,False,False,0.0,41.0,0.0,7976.0,,
C1_4_4,400,False,False,False,0.0,37.0,0.0,7405.0,,
C1_4_5,400,False,True,False,0.0,40.0,0.0,7100.0,,
C1_4_6,400,False,False,False,0.0,41.0,0.0,4845.0,,
C1_4_7,400,True,False,False,55.0,40.0,9922.6,7486.0,,
C1_4_8,400,True,False,False,48.0,40.0,8846.7,4789.0,,
C1_4_9,400,True,False,False,44.0,38.0,8253.6,7767.0,,
C2_4_1,400,True,False,False,23.0,13.0,4814.4,4124.0,,
C2_4_10,400,True,False,False,15.0,12.0,4076.6,4230.0,,
C2_4_2,400,True,True,True,19.0,13.0,4702.0,4057.0,31.57894736842105,13.717566992769035
C2_4_3,400,True,True,True,16.0,13.0,4380.5,4098.0,18.75,6.449035498230796
C2_4_4,400,True,False,False,15.0,13.0,4285.3,3906.0,,
C2_4_5,400,True,True,True,17.0,14.0,4588.1,4078.0,17.647058823529413,11.1178919378392
C2_4_6,400,True,True,True,16.0,14.0,4303.2,4331.0,12.5,-0.6460308607547913
C2_4_7,400,True,True,True,15.0,13.0,4200.1,4104.0,13.333333333333334,2.288040760934272
C2_4_8,400,True,False,False,15.0,13.0,4197.4,4046.0,,
C2_4_9,400,False,True,False,16.0,13.0,4406.4,4489.0,,
R1_4_1,400,False,False,False,0.0,55.0,0.0,11535.0,,
R1_4_10,400,True,False,False,38.0,37.0,9698.7,9090.0,,
R1_4_2,400,False,False,False,0.0,40.0,0.0,9457.0,,
R1_4_3,400,False,False,False,0.0,37.0,0.0,8702.0,,
R1_4_4,400,False,True,False,0.0,37.0,0.0,8465.0,,
R1_4_5,400,True,False,False,42.0,37.0,10222.0,10306.0,,
R1_4_6,400,True,False,False,40.0,37.0,9418.3,9597.0,,
R1_4_7,400,True,False,False,38.0,36.0,8708.9,8858.0,,
R1_4_8,400,False,False,False,37.0,0.0,8647.4,0.0,,
R1_4_9,400,True,False,False,41.0,37.0,9546.8,9795.0,,
R2_4_1,400,True,False,False,23.0,10.0,7951.1,9244.0,,
R2_4_10,400,True,False,False,13.0,8.0,6433.4,6787.0,,
R2_4_2,400,True,False,False,20.0,11.0,7074.3,7887.0,,
R2_4_3,400,True,False,False,16.0,10.0,6028.8,6294.0,,
R2_4_4,400,True,True,True,14.0,10.0,4872.6,4796.0,28.57142857142857,1.5720559865369692
R2_4_5,400,True,False,False,16.0,8.0,7195.6,7764.0,,
R2_4_6,400,True,False,False,14.0,8.0,6462.3,6757.0,,
R2_4_7,400,True,True,True,13.0,8.0,5457.8,6081.0,38.46153846153847,-11.418520282897868
R2_4_8,400,True,True,True,11.0,8.0,4856.9,4619.0,27.27272727272727,4.89818608577487
R2_4_9,400,True,True,True,17.0,8.0,6684.9,7394.0,52.94117647058824,-10.607488518900812
RC1_4_1,400,True,False,False,44.0,38.0,9541.3,7073.0,,
RC1_4_10,400,True,False,False,38.0,37.0,8436.1,6086.0,,
RC1_4_2,400,True,False,False,41.0,38.0,9054.1,8528.0,,
RC1_4_3,400,True,False,False,37.0,38.0,8676.9,8438.0,,
RC1_4_4,400,True,False,False,37.0,37.0,8192.2,7827.0,,
RC1_4_5,400,True,False,False,40.0,38.0,9200.4,8816.0,,
RC1_4_6,400,True,False,False,39.0,37.0,9128.9,8955.0,,
RC1_4_7,400,True,False,False,39.0,39.0,8869.0,8929.0,,
RC1_4_8,400,False,False,False,38.0,37.0,8556.6,8438.0,,
RC1_4_9,400,True,False,False,37.0,37.0,8800.1,8735.0,,
RC2_4_1,400,True,False,False,17.0,16.0,6588.2,6613.0,,
RC2_4_10,400,True,False,False,11.0,9.0,4913.6,4951.0,,
RC2_4_2,400,True,True,True,18.0,13.0,5787.6,6217.0,27.77777777777778,-7.419310249498921
RC2_4_3,400,True,False,False,14.0,10.0,5057.6,5137.0,,
RC2_4_4,400,True,False,False,11.0,8.0,4156.0,3978.0,,
RC2_4_5,400,False,False,False,15.0,12.0,6127.6,6145.0,,
RC2_4_6,400,True,False,False,15.0,12.0,5911.5,6014.0,,
RC2_4_7,400,True,False,False,13.0,14.0,5418.4,11093.0,,
RC2_4_8,400,True,False,False,13.0,9.0,5373.2,5530.0,,
RC2_4_9,400,True,False,False,11.0,8.0,5014.5,5135.0,,
C1_6_1,600,False,False,False,0.0,60.0,0.0,14106.0,,
C1_6_10,600,False,False,False,64.0,57.0,16390.6,14791.0,,
C1_6_2,600,False,True,False,0.0,61.0,0.0,10840.0,,
C1_6_3,600,False,False,False,0.0,59.0,0.0,15008.0,,
C1_6_4,600,False,False,False,0.0,56.0,0.0,14815.0,,
C1_6_5,600,False,True,False,0.0,61.0,0.0,8295.0,,
C1_6_6,600,False,False,False,0.0,0.0,0.0,0.0,,
C1_6_7,600,True,False,False,82.0,60.0,19810.2,14798.0,,
C1_6_8,600,True,False,False,72.0,61.0,18029.0,15330.0,,
C1_6_9,600,True,False,False,66.0,58.0,16520.8,15112.0,,
C2_6_1,600,True,False,False,36.0,17.0,10377.5,7253.0,,
C2_6_10,600,True,False,False,22.0,18.0,8503.3,8360.0,,
C2_6_2,600,True,True,True,26.0,19.0,8935.6,8453.0,26.923076923076923,5.4008684363668955
C2_6_3,600,True,False,False,23.0,19.0,8615.2,7695.0,,
C2_6_4,600,True,False,False,21.0,18.0,8016.5,8634.0,,
C2_6_5,600,True,False,False,24.0,20.0,9006.4,8298.0,,
C2_6_6,600,True,False,False,24.0,20.0,9136.1,8292.0,,
C2_6_7,600,True,False,False,26.0,20.0,9413.6,8418.0,,
C2_6_8,600,True,False,False,22.0,19.0,8535.2,8020.0,,
C2_6_9,600,True,False,False,24.0,20.0,8693.2,7943.0,,
R1_6_1,600,False,False,False,0.0,58.0,0.0,23404.0,,
R1_6_10,600,True,False,False,58.0,0.0,20708.5,0.0,,
R1_6_2,600,False,False,False,0.0,0.0,0.0,0.0,,
R1_6_3,600,False,True,False,0.0,55.0,0.0,20059.0,,
