family,scale,rows,ort_feasible,droc_feasible,dual_feasible,vehicle_median_reduction,distance_median_reduction
C1,200,10,4,7,2,8.902691511387163,13.679638252953918
C1,400,10,4,2,0,,
C1,600,10,3,2,0,,
C1,800,10,10,8,8,2.0182648401826486,4.65499078386303
C2,200,10,10,6,6,27.777777777777775,9.078592432072988
C2,400,10,9,6,5,17.647058823529413,6.449035498230796
C2,600,10,10,1,1,26.923076923076923,5.4008684363668955
C2,800,10,10,5,5,8.333333333333332,-8.742081710931595
R1,200,10,6,1,1,5.263157894736842,-1.2845980664812608
R1,400,10,5,1,0,,
R1,600,10,5,2,0,,
R1,800,10,9,3,3,1.36986301369863,1.1935770100466532
R2,200,10,10,5,5,42.857142857142854,2.694347841360165
R2,400,10,10,4,4,33.51648351648352,-4.517716266181921
R2,600,10,10,0,0,,
R2,800,10,10,3,3,34.78260869565217,-10.744201484015063
RC1,200,10,10,2,2,4.545454545454546,7.146951980514476
RC1,400,10,9,0,0,,
RC1,600,10,10,1,1,0.0,3.2277493361075367
RC1,800,10,10,2,2,1.991465149359886,0.23262285352809503
RC2,200,10,10,1,1,33.33333333333333,5.339491518107645
RC2,400,10,9,1,1,27.77777777777778,-7.419310249498921
RC2,600,10,10,1,1,33.33333333333333,-3.650692160140509
RC2,800,10,10,1,1,21.052631578947366,-1.8950991127896883
