block,unit,scale,state,ort_runtime,droc_runtime
static,ORTEC-SYNTH-300-s100,300,both,29.29,152.35
static,ORTEC-SYNTH-300-s101,300,both,30.39,153.02
static,ORTEC-SYNTH-300-s102,300,both,27.96,179.11
static,ORTEC-SYNTH-300-s104,300,both,30.67,155.72
static,ORTEC-SYNTH-300-s103,300,both,36.22,176.27
static,ORTEC-SYNTH-300-s106,300,droc_only,35.03,170.72
static,ORTEC-SYNTH-300-s107,300,both,35.5,93.39
static,ORTEC-SYNTH-300-s108,300,both,33.38,180.66
static,ORTEC-SYNTH-300-s105,300,both,88.89,169.76
static,ORTEC-SYNTH-300-s109,300,both,36.54,93.47
static,ORTEC-SYNTH-300-s110,300,both,35.64,171.59
static,ORTEC-SYNTH-300-s111,300,both,37.75,169.06
static,ORTEC-SYNTH-300-s44,300,both,31.33,140.62
static,ORTEC-SYNTH-300-s45,300,both,27.72,192.62
static,ORTEC-SYNTH-300-s43,300,both,45.15,167.18
static,ORTEC-SYNTH-300-s42,300,both,78.23,160.03
static,ORTEC-SYNTH-300-s47,300,both,32.1,148.82
static,ORTEC-SYNTH-300-s46,300,both,40.41,141.32
static,ORTEC-SYNTH-300-s48,300,both,36.18,181.71
static,ORTEC-SYNTH-300-s51,300,both,30.74,149.35
static,ORTEC-SYNTH-300-s50,300,both,39.61,217.86
static,ORTEC-SYNTH-300-s52,300,droc_only,39.75,153.69
static,ORTEC-SYNTH-300-s53,300,both,28.37,148.89
static,ORTEC-SYNTH-300-s54,300,both,31.97,190.76
static,ORTEC-SYNTH-300-s49,300,both,79.12,186.02
static,ORTEC-SYNTH-300-s55,300,both,40.28,172.44
static,ORTEC-SYNTH-300-s57,300,both,37.28,176.45
static,ORTEC-SYNTH-300-s56,300,both,51.48,165.24
static,ORTEC-SYNTH-300-s60,300,both,37.04,110.11
static,ORTEC-SYNTH-300-s61,300,both,29.15,161.43
static,ORTEC-SYNTH-300-s58,300,both,69.15,86.85
static,ORTEC-SYNTH-300-s62,300,both,29.99,151.46
static,ORTEC-SYNTH-300-s63,300,both,47.39,165.75
static,ORTEC-SYNTH-300-s65,300,both,26.82,186.47
static,ORTEC-SYNTH-300-s59,300,droc_only,120.48,197.24
static,ORTEC-SYNTH-300-s66,300,both,33.14,160.92
static,ORTEC-SYNTH-300-s64,300,both,89.39,191.7
static,ORTEC-SYNTH-300-s67,300,both,39.05,153.33
static,ORTEC-SYNTH-300-s69,300,both,30.19,181.96
static,ORTEC-SYNTH-300-s72,300,both,33.1,151.62
static,ORTEC-SYNTH-300-s70,300,both,55.58,210.19
static,ORTEC-SYNTH-300-s73,300,both,24.91,193.93
static,ORTEC-SYNTH-300-s68,300,droc_only,120.43,300.11
static,ORTEC-SYNTH-300-s75,300,both,34.7,177.83
static,ORTEC-SYNTH-300-s71,300,neither,120.65,247.41
static,ORTEC-SYNTH-300-s76,300,both,29.56,157.62
static,ORTEC-SYNTH-300-s74,300,both,73.48,183.48
static,ORTEC-SYNTH-300-s79,300,both,33.1,192.91
static,ORTEC-SYNTH-300-s78,300,both,37.54,158.38
static,ORTEC-SYNTH-300-s81,300,both,26.63,91.21
static,ORTEC-SYNTH-300-s80,300,both,68.58,68.28
static,ORTEC-SYNTH-300-s82,300,both,35.38,163.82
static,ORTEC-SYNTH-300-s83,300,both,33.82,186.65
static,ORTEC-SYNTH-300-s77,300,droc_only,120.43,131.88
static,ORTEC-SYNTH-300-s85,300,both,44.39,156.31
static,ORTEC-SYNTH-300-s86,300,both,33.93,171.41
static,ORTEC-SYNTH-300-s87,300,both,31.29,175.66
static,ORTEC-SYNTH-300-s89,300,both,41.43,193.33
static,ORTEC-SYNTH-300-s90,300,both,31.92,108.8
static,ORTEC-SYNTH-300-s84,300,both,101.86,196.74
static,ORTEC-SYNTH-300-s92,300,both,26.22,176.86
static,ORTEC-SYNTH-300-s94,300,both,30.9,160.82
static,ORTEC-SYNTH-300-s88,300,droc_only,120.49,149.85
static,ORTEC-SYNTH-300-s93,300,both,79.1,147.84
static,ORTEC-SYNTH-300-s95,300,both,34.66,173.33
static,ORTEC-SYNTH-300-s96,300,both,28.1,192.65
static,ORTEC-SYNTH-300-s91,300,droc_only,120.5,135.91
static,ORTEC-SYNTH-300-s98,300,both,33.41,179.12
static,ORTEC-SYNTH-300-s99,300,both,34.96,190.03
static,ORTEC-SYNTH-300-s97,300,both,58.53,164.16
static,ORTEC-SYNTH-500-s201,500,both,74.77,174.47
static,ORTEC-SYNTH-500-s200,500,both,88.41,170.58
static,ORTEC-SYNTH-500-s202,500,droc_only,104.38,225.86
static,ORTEC-SYNTH-500-s203,500,both,122.21,163.89
static,ORTEC-SYNTH-500-s204,500,both,80.8,160.71
static,ORTEC-SYNTH-500-s205,500,both,74.73,236.96
static,ORTEC-SYNTH-500-s206,500,droc_only,120.77,139.25
static,ORTEC-SYNTH-500-s208,500,droc_only,79.92,159.94
static,ORTEC-SYNTH-500-s207,500,both,122.0,180.02
static,ORTEC-SYNTH-500-s209,500,droc_only,120.82,147.57
static,ORTEC-SYNTH-500-s210,500,both,69.78,166.61
static,ORTEC-SYNTH-500-s211,500,both,98.67,188.49
static,ORTEC-SYNTH-500-s213,500,both,91.78,255.6
static,ORTEC-SYNTH-500-s212,500,both,121.0,176.46
static,ORTEC-SYNTH-500-s214,500,both,109.63,180.65
static,ORTEC-SYNTH-500-s215,500,both,88.12,169.5
static,ORTEC-SYNTH-500-s216,500,both,77.6,261.61
static,ORTEC-SYNTH-500-s217,500,both,122.69,205.56
static,ORTEC-SYNTH-500-s219,500,both,89.47,168.42
static,ORTEC-SYNTH-500-s218,500,droc_only,120.82,177.36
static,ORTEC-SYNTH-500-s220,500,both,100.93,169.62
static,ORTEC-SYNTH-500-s222,500,droc_only,71.85,160.02
static,ORTEC-SYNTH-500-s223,500,both,79.53,189.07
static,ORTEC-SYNTH-500-s221,500,both,121.95,183.62
static,ORTEC-SYNTH-500-s224,500,both,93.77,175.55
static,ORTEC-SYNTH-500-s225,500,both,75.67,191.18
static,ORTEC-SYNTH-500-s226,500,droc_only,74.49,140.19
static,ORTEC-SYNTH-500-s228,500,both,100.3,257.2
static,ORTEC-SYNTH-500-s229,500,both,89.61,190.22
static,ORTEC-SYNTH-500-s227,500,both,122.7,194.18
static,ORTEC-SYNTH-500-s230,500,both,83.85,175.95
static,ORTEC-SYNTH-500-s232,500,both,66.7,272.56
static,ORTEC-SYNTH-500-s231,500,both,87.44,167.92
static,ORTEC-SYNTH-500-s234,500,droc_only,77.3,157.35
static,ORTEC-SYNTH-500-s233,500,droc_only,121.82,141.74
static,ORTEC-SYNTH-500-s235,500,droc_only,86.93,183.66
static,ORTEC-SYNTH-500-s236,500,droc_only,81.62,176.35
static,ORTEC-SYNTH-500-s237,500,both,90.76,175.2
static,ORTEC-SYNTH-500-s239,500,both,79.03,112.52
static,ORTEC-SYNTH-500-s240,500,droc_only,76.12,130.81
static,ORTEC-SYNTH-500-s238,500,droc_only,122.9,129.77
static,ORTEC-SYNTH-500-s241,500,both,92.48,173.9
static,ORTEC-SYNTH-500-s242,500,droc_only,83.09,138.65
static,ORTEC-SYNTH-500-s243,500,both,83.6,161.82
static,ORTEC-SYNTH-500-s244,500,both,121.57,168.69
static,ORTEC-SYNTH-500-s245,500,both,93.59,190.17
static,ORTEC-SYNTH-500-s246,500,both,88.47,207.22
static,ORTEC-SYNTH-500-s247,500,both,103.39,166.37
static,ORTEC-SYNTH-500-s249,500,both,76.26,185.42
static,ORTEC-SYNTH-500-s248,500,both,121.54,165.13
static,ORTEC-SYNTH-500-s251,500,both,61.79,346.29
static,ORTEC-SYNTH-500-s250,500,droc_only,120.85,153.12
static,ORTEC-SYNTH-500-s252,500,droc_only,120.86,186.1
static,ORTEC-SYNTH-500-s254,500,both,85.85,189.04
static,ORTEC-SYNTH-500-s253,500,droc_only,121.48,160.14
static,ORTEC-SYNTH-500-s256,500,both,72.39,253.72
static,ORTEC-SYNTH-500-s255,500,droc_only,120.9,148.37
static,ORTEC-SYNTH-500-s257,500,droc_only,79.78,152.24
static,ORTEC-SYNTH-500-s260,500,both,70.83,183.38
static,ORTEC-SYNTH-500-s258,500,both,122.05,203.59
static,ORTEC-SYNTH-500-s261,500,both,92.99,185.38
static,ORTEC-SYNTH-500-s259,500,both,106.9,163.03
static,ORTEC-SYNTH-500-s262,500,both,66.94,223.19
static,ORTEC-SYNTH-500-s264,500,both,69.13,184.87
static,ORTEC-SYNTH-500-s265,500,droc_only,90.36,136.82
static,ORTEC-SYNTH-500-s263,500,both,122.74,161.09
static,ORTEC-SYNTH-500-s266,500,droc_only,72.84,136.93
static,ORTEC-SYNTH-500-s267,500,both,84.53,184.05
static,ORTEC-SYNTH-500-s268,500,both,81.28,197.34
