dataset,scale,method,protocol,success,n,rate,lo,hi
Static ORTEC,300,OR-Tools,baseline,62,70,88.57142857142857,79.03556803979788,94.09394161329739
Static ORTEC,300,DRoC,latest,66,70,94.28571428571429,86.20785266792448,97.75565841525898
Static ORTEC,500,OR-Tools,baseline,51,73,69.86301369863014,58.562417824009614,79.17755635664254
Static ORTEC,500,DRoC,latest,68,73,93.15068493150685,84.94770066805461,97.0391397933621
Static ORTEC,800,OR-Tools,baseline,22,63,34.92063492063492,24.325819396354188,47.24876888399816
Static ORTEC,800,DRoC,latest,48,63,76.19047619047619,64.3641051960718,85.00634673805303
Static ORTEC,300,DRoC,retry_success,69,70,98.57142857142857,92.34163029607309,99.7473818596765
Static ORTEC,500,DRoC,retry_success,73,73,100.0,95.0006246616416,99.99999999999999
Static ORTEC,800,DRoC,retry_success,62,63,98.41269841269842,91.54127455383438,99.7192578092449
Dynamic ORTEC,300,OR-Tools,baseline,64,70,91.42857142857143,82.5341230221722,96.01238734596716
Dynamic ORTEC,300,DRoC,latest,64,70,91.42857142857143,82.5341230221722,96.01238734596716
Dynamic ORTEC,500,OR-Tools,baseline,66,73,90.41095890410959,81.50416221426188,95.27716456706489
Dynamic ORTEC,500,DRoC,latest,66,73,90.41095890410959,81.50416221426188,95.27716456706489
Dynamic ORTEC,800,OR-Tools,baseline,44,63,69.84126984126983,57.63939457458815,79.76246295126401
Dynamic ORTEC,800,DRoC,latest,44,63,69.84126984126983,57.63939457458815,79.76246295126401
Dynamic ORTEC,300,DRoC,retry_success,67,70,95.71428571428571,88.14013892581987,98.53187251488565
Dynamic ORTEC,500,DRoC,retry_success,71,73,97.26027397260275,90.54967102680322,99.24543995474843
Dynamic ORTEC,800,DRoC,retry_success,56,63,88.88888888888889,78.79511971626006,94.51252103441016
