instance,scale,rule,ort_feasible,droc_feasible,ort_vehicles,droc_vehicles,ort_distance,droc_distance,ort_runtime,droc_runtime,vehicle_improvement,distance_improvement,runtime_ratio
ORTEC-SYNTH-300-s100,300,latest,True,True,29.0,28.0,140867.3,111495.0,29.29,172.64,3.4482758620689653,20.851042080028503,5.894161829976101
ORTEC-SYNTH-300-s100,300,retry,True,True,29.0,26.0,140867.3,114428.0,29.29,152.35,10.344827586206897,18.768940698089615,5.201433936497098
ORTEC-SYNTH-300-s101,300,latest,True,True,29.0,30.0,159861.9,134595.0,30.39,180.7,-3.4482758620689653,15.805454582986938,5.946034879894702
ORTEC-SYNTH-300-s101,300,retry,True,True,29.0,28.0,159861.9,163435.0,30.39,153.02,3.4482758620689653,-2.235116685088821,5.035208950312603
ORTEC-SYNTH-300-s102,300,latest,True,True,28.0,29.0,139305.6,140009.0,27.96,185.27,-3.571428571428571,-0.5049330393035126,6.626251788268956
ORTEC-SYNTH-300-s102,300,retry,True,True,28.0,25.0,139305.6,125978.0,27.96,179.11,10.714285714285714,9.567167436197831,6.405937052932761
ORTEC-SYNTH-300-s104,300,latest,True,True,30.0,28.0,158996.0,153728.0,30.67,184.46,6.666666666666667,3.31329090040001,6.01434626671014
ORTEC-SYNTH-300-s104,300,retry,True,True,30.0,25.0,158996.0,144252.0,30.67,155.72,16.666666666666664,9.273189262622958,5.077274209325073
ORTEC-SYNTH-300-s103,300,latest,True,True,30.0,29.0,163909.0,161295.0,36.22,162.41,3.3333333333333335,1.5947873515182205,4.483986747653231
ORTEC-SYNTH-300-s103,300,retry,True,True,30.0,25.0,163909.0,160842.0,36.22,176.27,16.666666666666664,1.871160216949649,4.8666482606294865
ORTEC-SYNTH-300-s106,300,latest,False,True,29.0,29.0,180487.2,136320.0,35.03,147.17,,,4.201256066228946
ORTEC-SYNTH-300-s106,300,retry,False,True,29.0,28.0,180487.2,181567.0,35.03,170.72,,,4.873536968312875
ORTEC-SYNTH-300-s107,300,latest,True,True,29.0,28.0,147426.9,119811.0,35.5,176.19,3.4482758620689653,18.73192748406159,4.963098591549295
ORTEC-SYNTH-300-s107,300,retry,True,True,29.0,26.0,147426.9,113403.0,35.5,93.39,10.344827586206897,23.0784883898393,2.6307042253521127
ORTEC-SYNTH-300-s108,300,latest,True,True,30.0,29.0,165574.9,163904.0,33.38,99.57,3.3333333333333335,1.0091505415373914,2.982923906530856
ORTEC-SYNTH-300-s108,300,retry,True,True,30.0,27.0,165574.9,153683.0,33.38,180.66,10.0,7.1821876383437315,5.41222288795686
ORTEC-SYNTH-300-s105,300,latest,True,True,31.0,31.0,172429.5,168379.0,88.89,182.77,0.0,2.349075999176475,2.0561367982900216
ORTEC-SYNTH-300-s105,300,retry,True,True,31.0,28.0,172429.5,159142.0,88.89,169.76,9.67741935483871,7.70604797902911,1.9097761277984024
ORTEC-SYNTH-300-s109,300,latest,True,True,29.0,29.0,152664.1,153011.0,36.54,169.01,0.0,-0.22723089449320052,4.625342090859332
ORTEC-SYNTH-300-s109,300,retry,True,True,29.0,26.0,152664.1,142252.0,36.54,93.47,10.344827586206897,6.820267502313906,2.5580186097427475
ORTEC-SYNTH-300-s110,300,latest,True,True,30.0,29.0,157252.4,153470.0,35.64,171.59,3.3333333333333335,2.405305101861717,4.814534231200898
ORTEC-SYNTH-300-s110,300,retry,True,True,30.0,29.0,157252.4,153470.0,35.64,171.59,3.3333333333333335,2.405305101861717,4.814534231200898
ORTEC-SYNTH-300-s111,300,latest,True,True,29.0,28.0,156014.1,150052.0,37.75,103.58,3.4482758620689653,3.8215135683249177,2.743841059602649
ORTEC-SYNTH-300-s111,300,retry,True,True,29.0,28.0,156014.1,148294.0,37.75,169.06,3.4482758620689653,4.948334797944548,4.47841059602649
ORTEC-SYNTH-300-s44,300,latest,True,True,27.0,26.0,141102.8,143376.0,31.33,168.32,3.7037037037037033,-1.6110240193674483,5.372486434727099
ORTEC-SYNTH-300-s44,300,retry,True,True,27.0,25.0,141102.8,141318.0,31.33,140.62,7.4074074074074066,-0.15251291965858343,4.4883498244494096
ORTEC-SYNTH-300-s45,300,latest,True,True,27.0,26.0,147843.4,150667.0,27.72,178.57,3.7037037037037033,-1.9098586747869746,6.441919191919192
ORTEC-SYNTH-300-s45,300,retry,True,True,27.0,25.0,147843.4,143213.0,27.72,192.62,7.4074074074074066,3.131962603673884,6.94877344877345
ORTEC-SYNTH-300-s43,300,latest,True,True,27.0,27.0,149737.8,149918.0,45.15,172.35,0.0,-0.1203436941106465,3.8172757475083055
ORTEC-SYNTH-300-s43,300,retry,True,True,27.0,25.0,149737.8,142748.0,45.15,167.18,7.4074074074074066,4.668026376773259,3.7027685492801776
ORTEC-SYNTH-300-s42,300,latest,True,True,28.0,27.0,153054.9,152411.0,78.23,191.01,3.571428571428571,0.4206987166042997,2.4416464272018406
ORTEC-SYNTH-300-s42,300,retry,True,True,28.0,26.0,153054.9,119777.0,78.23,160.03,7.142857142857142,21.742459731769447,2.045634667007542
ORTEC-SYNTH-300-s47,300,latest,True,True,27.0,26.0,113684.2,94425.0,32.1,102.3,3.7037037037037033,16.94096453157079,3.186915887850467
ORTEC-SYNTH-300-s47,300,retry,True,True,27.0,25.0,113684.2,112880.0,32.1,148.82,7.4074074074074066,0.7073982136479802,4.63613707165109
ORTEC-SYNTH-300-s46,300,latest,True,True,28.0,28.0,140698.0,140030.0,40.41,185.72,0.0,0.47477576084947903,4.595892105914378
ORTEC-SYNTH-300-s46,300,retry,True,True,28.0,27.0,140698.0,141437.0,40.41,141.32,3.571428571428571,-0.5252384539936602,3.4971541697599604
ORTEC-SYNTH-300-s48,300,latest,True,True,30.0,30.0,156680.2,156042.0,36.18,181.71,0.0,0.40732651604989756,5.022388059701493
ORTEC-SYNTH-300-s48,300,retry,True,True,30.0,30.0,156680.2,156042.0,36.18,181.71,0.0,0.40732651604989756,5.022388059701493
ORTEC-SYNTH-300-s51,300,latest,True,True,27.0,26.0,142441.2,144467.0,30.74,177.77,3.7037037037037033,-1.4222008800824397,5.783018867924529
