feasible,improvement,instance,method,method_label,metric,n,panel,rate,scale,scenario,served_rate,size
62,,,ortools,OR-Tools,,70,static_feasibility,88.57142857142857,300,,,
66,,,latest,DRoC latest,,70,static_feasibility,94.28571428571429,300,,,
69,,,retry,DRoC retry,,70,static_feasibility,98.57142857142857,300,,,
51,,,ortools,OR-Tools,,73,static_feasibility,69.86301369863014,500,,,
68,,,latest,DRoC latest,,73,static_feasibility,93.15068493150685,500,,,
73,,,retry,DRoC retry,,73,static_feasibility,100.0,500,,,
22,,,ortools,OR-Tools,,63,static_feasibility,34.92063492063492,800,,,
48,,,latest,DRoC latest,,63,static_feasibility,76.19047619047619,800,,,
62,,,retry,DRoC retry,,63,static_feasibility,98.41269841269842,800,,,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s100_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s100_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s100_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s101_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s101_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s101_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s102_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s102_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s102_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s103_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s103_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s103_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s104_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s104_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s104_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s105_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s105_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s105_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s106_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s106_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s106_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s107_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s107_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s107_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s108_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s108_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s108_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s109_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s109_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s109_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s110_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s110_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s110_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s111_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s111_dyn5e,82.33,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s111_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s42_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s42_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s42_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s43_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s43_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s43_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s44_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s44_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s44_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s45_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s45_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s45_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s46_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s46_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s46_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s47_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s47_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s47_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s48_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s48_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s48_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s49_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s49_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s49_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s50_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s50_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s50_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s51_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s51_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s51_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s52_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s52_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s52_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s53_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s53_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s53_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s54_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s54_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s54_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s55_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s55_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s55_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s56_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s56_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s56_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s57_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s57_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s57_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s58_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s58_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s58_dyn5e,100.33000000000001,
False,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s59_dyn5e,60.0,
False,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s59_dyn5e,60.33,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s59_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s60_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s60_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s60_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s61_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s61_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s61_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s62_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s62_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s62_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s63_dyn5e,100.0,
