scenario,base,epoch,served_rate,feasible,late_violations,capacity_violations,runtime_sec,orders_dispatched,orders_pending,distance,error
ORTEC-SYNTH-300-s101_dyn5e,ORTEC-SYNTH-300-s101,0,0.2000,True,0,0,3.04,60,0,47674.7,
ORTEC-SYNTH-300-s101_dyn5e,ORTEC-SYNTH-300-s101,1,0.4000,True,0,0,2.45,60,0,45913.3,
ORTEC-SYNTH-300-s101_dyn5e,ORTEC-SYNTH-300-s101,2,0.6000,True,0,0,3.07,60,0,55162.2,
ORTEC-SYNTH-300-s101_dyn5e,ORTEC-SYNTH-300-s101,3,0.8000,True,0,0,2.38,60,0,46683.8,
ORTEC-SYNTH-300-s101_dyn5e,ORTEC-SYNTH-300-s101,4,1.0000,True,0,0,2.21,60,0,48419.8,
ORTEC-SYNTH-300-s100_dyn5e,ORTEC-SYNTH-300-s100,0,0.2000,True,0,0,3.6,60,0,45302.1,
ORTEC-SYNTH-300-s100_dyn5e,ORTEC-SYNTH-300-s100,1,0.4000,True,0,0,2.25,60,0,47310.0,
ORTEC-SYNTH-300-s100_dyn5e,ORTEC-SYNTH-300-s100,2,0.6000,True,0,0,1.95,60,0,44716.6,
ORTEC-SYNTH-300-s100_dyn5e,ORTEC-SYNTH-300-s100,3,0.8000,True,0,0,3.62,60,0,40193.7,
ORTEC-SYNTH-300-s100_dyn5e,ORTEC-SYNTH-300-s100,4,1.0000,True,0,0,2.74,60,0,43190.6,
ORTEC-SYNTH-300-s103_dyn5e,ORTEC-SYNTH-300-s103,0,0.2000,True,0,0,7.15,60,0,53137.1,
ORTEC-SYNTH-300-s103_dyn5e,ORTEC-SYNTH-300-s103,1,0.4000,True,0,0,9.19,60,0,52809.1,
ORTEC-SYNTH-300-s103_dyn5e,ORTEC-SYNTH-300-s103,2,0.6000,True,0,0,7.55,60,0,45167.1,
ORTEC-SYNTH-300-s103_dyn5e,ORTEC-SYNTH-300-s103,3,0.8000,True,0,0,7.89,60,0,54387.6,
ORTEC-SYNTH-300-s103_dyn5e,ORTEC-SYNTH-300-s103,4,1.0000,True,0,0,8.23,60,0,50463.0,
ORTEC-SYNTH-300-s102_dyn5e,ORTEC-SYNTH-300-s102,0,0.2000,True,0,0,11.04,60,0,37632.4,
