scenario,base,epoch,served_rate,feasible,late_violations,cap_violations,runtime_sec,orders_dispatched,orders_pending,distance,error
ORTEC-SYNTH-300-s101_dyn5e,ORTEC-SYNTH-300-s101,0,0.2000,True,0,0,2.7815189361572266,60,0,47674.7,
ORTEC-SYNTH-300-s101_dyn5e,ORTEC-SYNTH-300-s101,1,0.4000,True,0,0,2.2789318561553955,60,0,45913.3,
ORTEC-SYNTH-300-s101_dyn5e,ORTEC-SYNTH-300-s101,2,0.6000,True,0,0,2.892113208770752,60,0,55162.2,
ORTEC-SYNTH-300-s101_dyn5e,ORTEC-SYNTH-300-s101,3,0.8000,True,0,0,2.0960259437561035,60,0,46683.8,
ORTEC-SYNTH-300-s101_dyn5e,ORTEC-SYNTH-300-s101,4,1.0000,True,0,0,2.0880720615386963,60,0,48419.8,
ORTEC-SYNTH-300-s100_dyn5e,ORTEC-SYNTH-300-s100,0,0.2000,True,0,0,3.2739338874816895,60,0,45302.1,
ORTEC-SYNTH-300-s100_dyn5e,ORTEC-SYNTH-300-s100,1,0.4000,True,0,0,2.157665491104126,60,0,47310.0,
ORTEC-SYNTH-300-s100_dyn5e,ORTEC-SYNTH-300-s100,2,0.6000,True,0,0,1.775740623474121,60,0,44716.6,
ORTEC-SYNTH-300-s100_dyn5e,ORTEC-SYNTH-300-s100,3,0.8000,True,0,0,3.2697980403900146,60,0,40193.7,
ORTEC-SYNTH-300-s100_dyn5e,ORTEC-SYNTH-300-s100,4,1.0000,True,0,0,3.3270719051361084,60,0,43190.6,
ORTEC-SYNTH-300-s102_dyn5e,ORTEC-SYNTH-300-s102,0,0.2000,True,0,0,2.1891512870788574,60,0,37632.4,
ORTEC-SYNTH-300-s102_dyn5e,ORTEC-SYNTH-300-s102,1,0.4000,True,0,0,1.1427538394927979,60,0,44000.6,
ORTEC-SYNTH-300-s102_dyn5e,ORTEC-SYNTH-300-s102,2,0.6000,True,0,0,1.1987454891204834,60,0,41353.3,
ORTEC-SYNTH-300-s102_dyn5e,ORTEC-SYNTH-300-s102,3,0.8000,True,0,0,1.04620361328125,60,0,42933.5,
ORTEC-SYNTH-300-s102_dyn5e,ORTEC-SYNTH-300-s102,4,1.0000,True,0,0,1.1428980827331543,60,0,43896.1,
